Coin name,Market cap,Price,Supply
,,,
Bitcoin,"$42,440,352,200",$2576.38,"16,472,862"
Ethereum,"$18,955,294,914",$202.53,"93,594,840"
Ripple,"$6,632,123,017",$0.173013,"38,333,090,674"
Litecoin,"$2,180,020,483",$41.77,"52,192,057"
NEM,"$1,490,841,000",$0.165649,"8,999,999,999"
Dash,"$1,447,344,846",$194.23,"7,451,629"
Ethereum Classic,"$1,374,611,220",$14.63,"93,960,315"
IOTA,"$780,828,427",$0.280921,"2,779,530,283"
Monero,"$659,669,364",$44.43,"14,846,918"
Stratis,"$484,142,160",$4.92,"98,479,740"
EOS,"$458,839,152",$1.87,"245,178,419"
BitConnect,"$396,622,334",$63.14,"6,281,922"
NEO,"$376,231,500",$7.52,"50,000,000"
Qtum,"$362,059,990",$6.14,"59,000,000"
BitShares,"$354,153,218",$0.136357,"2,597,250,000"
Zcash,"$338,571,900",$184.88,"1,831,306"
Tether,"$319,093,949",$0.998725,"319,501,313"
Steem,"$302,711,388",$1.27,"238,049,895"
Veritaseum,"$281,003,510",$140.06,"2,006,279"
Iconomi,"$276,438,150",$3.18,"87,000,000"
Waves,"$265,828,000",$2.66,"100,000,000"
Siacoin,"$235,280,739",$0.008375,"28,094,866,374"
Bytecoin,"$232,080,902",$0.001267,"183,177,898,290"
Gnosis,"$222,753,829",$201.66,"1,104,590"
Lisk,"$213,828,917",$1.94,"110,142,175"
Golem,"$204,421,888",$0.245395,"833,032,000"
Status,"$200,646,020",$0.057815,"3,470,483,788"
Stellar Lumens,"$200,374,836",$0.018597,"10,774,578,471"
Augur,"$199,475,100",$18.13,"11,000,000"
Dogecoin,"$198,439,298",$0.001798,"110,395,541,698"
Byteball,"$174,013,226",$475.57,"365,903"
Factom,"$156,214,323",$17.85,"8,753,219"
MaidSafeCoin,"$150,121,591",$0.331722,"452,552,412"
DigiByte,"$144,241,066",$0.016499,"8,742,253,657"
Decred,"$134,135,177",$24.78,"5,412,605"
GameCredits,"$130,476,560",$2.05,"63,629,100"
OmiseGo,"$129,666,678",$1.32,"98,312,024"
DigixDAO,"$121,868,800",$60.93,"2,000,000"
PIVX,"$117,854,412",$2.19,"53,934,243"
Basic Attenti...,"$115,928,000",$0.115928,"1,000,000,000"
Ardor,"$110,070,763",$0.110181,"998,999,495"
Nxt,"$104,875,018",$0.104980,"998,999,983"
MCAP,"$100,891,072",$2.08,"48,548,503"
TenX,"$99,357,075",$0.949320,"104,661,310"
Komodo,"$96,320,691",$0.954185,"100,945,510"
Populous,"$88,942,879",$2.40,"37,004,027"
Metal,"$86,993,772",$4.13,"21,088,888"
Bancor,"$78,455,565",$1.92,"40,772,871"
Bitdeal,"$76,811,400",$0.256038,"300,000,000"
MobileGo,"$76,637,159",$0.807815,"94,869,691"
FirstBlood,"$64,934,183",$0.758946,"85,558,371"
SingularDTV,"$62,014,800",$0.103358,"600,000,000"
Lykke,"$59,939,379",$0.239288,"250,490,536"
Aragon,"$56,631,427",$1.69,"33,605,167"
SysCoin,"$56,019,584",$0.106418,"526,410,799"
BitcoinDark,"$55,766,489",$43.27,"1,288,862"
Civic,"$55,395,115",$0.163238,"339,351,836"
DECENT,"$51,097,940",$0.995943,"51,306,089"
Ark,"$45,367,676",$0.470125,"96,501,304"
LEOcoin,"$44,711,805",$0.511581,"87,399,268"
Particl,"$43,670,290",$5.71,"7,649,296"
Blocknet,"$43,150,718",$10.90,"3,960,380"
Nexus,"$42,938,230",$0.837799,"51,251,231"
Ubiq,"$42,823,568",$1.14,"37,539,178"
FunFair,"$42,541,253",$0.011080,"3,839,463,249"
Peercoin,"$42,237,623",$1.74,"24,232,298"
Emercoin,"$39,175,006",$0.968561,"40,446,606"
Verge,"$38,111,598",$0.002842,"13,409,472,280"
Asch,"$37,596,825",$0.501291,"75,000,000"
Etheroll,"$37,085,145",$5.30,"7,001,623"
Edgeless,"$36,683,880",$0.447112,"82,046,288"
Numeraire,"$33,701,724",$27.56,"1,222,991"
Round,"$33,369,300",$0.039258,"850,000,000"
ReddCoin,"$32,913,702",$0.001152,"28,573,402,440"
Pillar,"$32,618,656",$0.058248,"560,000,000"
iExec RLC,"$31,581,349",$0.399406,"79,070,793"
vSlice,"$30,427,090",$0.911250,"33,390,496"
Wings,"$29,982,588",$0.334223,"89,708,333"
E-Dinar Coin,"$29,923,923",$0.033766,"886,211,988"
Humaniq,"$29,579,974",$0.181630,"162,858,414"
Melon,"$27,829,662",$46.43,"599,400"
Xaurum,"$27,612,552",$0.217232,"127,110,887"
Gulden,"$26,854,324",$0.076774,"349,784,545"
LBRY Credits,"$26,309,854",$0.383948,"68,524,524"
Storj,"$26,211,205",$0.382717,"68,487,172"
MonaCoin,"$25,872,208",$0.489878,"52,813,575"
Namecoin,"$25,518,287",$1.73,"14,736,400"
Quantum Resis...,"$24,633,336",$0.473718,"52,000,000"
Peerplays,"$24,202,118",$6.56,"3,690,337"
Counterparty,"$23,653,511",$9.03,"2,618,245"
CloakCoin,"$21,935,786",$4.33,"5,068,694"
PotCoin,"$21,691,759",$0.099772,"217,412,855"
BitBay,"$21,437,429",$0.021275,"1,007,630,013"
Skycoin,"$20,827,879",$3.58,"5,818,526"
SIBCoin,"$20,278,610",$1.34,"15,096,002"
Viacoin,"$19,997,654",$0.878325,"22,767,944"
Vertcoin,"$19,374,260",$0.509406,"38,033,043"
Omni,"$19,352,752",$34.60,"559,399"
BlackCoin,"$19,232,332",$0.252142,"76,275,797"
Elastic,"$19,025,895",$0.229603,"82,864,312"
